sample,factor,value,group
F298,Factor3,-0.520294445147685,single_group
F299,Factor3,2.06187720497936,single_group
F300,Factor3,1.83107126376894,single_group
F301,Factor3,0.67133371491855,single_group
F302,Factor3,-0.538258970099746,single_group
F303,Factor3,-0.329431513644663,single_group
F304,Factor3,-1.18731199017009,single_group
F305,Factor3,-1.06941978756353,single_group
F306,Factor3,-1.12980461100489,single_group
F307,Factor3,-0.909103003556901,single_group
F309,Factor3,-0.648711210404747,single_group
F311,Factor3,-1.42748841463627,single_group
F312,Factor3,0.0126678378658922,single_group
F314,Factor3,-0.00113062680549516,single_group
F315,Factor3,1.5926445024897,single_group
F316,Factor3,0.0527773143957671,single_group
F317,Factor3,-0.934791107173149,single_group
F318,Factor3,-1.13801395825349,single_group
F320,Factor3,-0.474745755029967,single_group
F321,Factor3,-0.525516813286929,single_group
F323,Factor3,-0.740547197038328,single_group
F324,Factor3,2.5495917622253,single_group
F325,Factor3,-1.05167757811809,single_group
F326,Factor3,2.62511883200352,single_group
F327,Factor3,0.044569559880624,single_group
F328,Factor3,0.518688234344711,single_group
F329,Factor3,-0.463731556225625,single_group
F331,Factor3,-0.404040979729387,single_group
F332,Factor3,-1.19120669997775,single_group
F333,Factor3,-1.20808613112822,single_group
F334,Factor3,-0.766996606112363,single_group
F335,Factor3,-1.15113577706912,single_group
F336,Factor3,-0.71166414770609,single_group
F338,Factor3,1.97985837003069,single_group
F341,Factor3,1.78941121799991,single_group
F342,Factor3,-1.14033758792245,single_group
F343,Factor3,-0.390435217519188,single_group
F344,Factor3,-0.731868544657161,single_group
F345,Factor3,-1.50963806404396,single_group
F346,Factor3,1.62765592315154,single_group
F349,Factor3,-0.294258738200989,single_group
F350,Factor3,-0.584891091418032,single_group
F351,Factor3,-1.2793778825504,single_group
F352,Factor3,-1.10895588721378,single_group
F353,Factor3,-1.14107228386108,single_group
F354,Factor3,-0.0656263208759882,single_group
F355,Factor3,-0.474510489287621,single_group
F356,Factor3,-1.18555011328854,single_group
F358,Factor3,-1.26522806335339,single_group
F359,Factor3,-0.249284565823683,single_group
F360,Factor3,-0.101177685613515,single_group
F361,Factor3,0.0217350842568105,single_group
F362,Factor3,1.82771121174925,single_group
F363,Factor3,-0.129981076167277,single_group
F365,Factor3,0.351077858762656,single_group
F366,Factor3,0.0761265365162704,single_group
F371,Factor3,-0.692919337241853,single_group
F372,Factor3,-0.558172181744728,single_group
F373,Factor3,0.352258061312565,single_group
F374,Factor3,-0.944181926724878,single_group
F375,Factor3,-1.58586938307646,single_group
F376,Factor3,0.561821915690263,single_group
F377,Factor3,-0.00106118508007136,single_group
F378,Factor3,0.151756044879185,single_group
F379,Factor3,-1.03883139226998,single_group
F380,Factor3,0.881134105089408,single_group
F381,Factor3,-0.859556782907023,single_group
F382,Factor3,-1.47503594564433,single_group
F383,Factor3,-0.605905615336085,single_group
F386,Factor3,0.529466337513848,single_group
F388,Factor3,0.976689520988364,single_group
F389,Factor3,0.566440948756174,single_group
F390,Factor3,0.434674788908552,single_group
F391,Factor3,-0.933569493482793,single_group
F392,Factor3,-0.782631036967514,single_group
F393,Factor3,1.67208234659617,single_group
F394,Factor3,1.32940489622856,single_group
F395,Factor3,2.54367681997503,single_group
F397,Factor3,1.91456949013549,single_group
F398,Factor3,-0.0724400393529397,single_group
F399,Factor3,-0.375612257004982,single_group
F400,Factor3,-0.360011617748342,single_group
F401,Factor3,-0.725994834219224,single_group
F404,Factor3,-0.912414603615185,single_group
F405,Factor3,-0.622014778642547,single_group
F408,Factor3,-0.962101854563104,single_group
F410,Factor3,2.33490797071884,single_group
F411,Factor3,-0.204935662657231,single_group
F412,Factor3,2.49094928247734,single_group
F413,Factor3,-0.0161980602555405,single_group
F414,Factor3,0.00413227024407958,single_group
F415,Factor3,2.72563672333057,single_group
F417,Factor3,2.29620982406696,single_group
F418,Factor3,0.00288229120499231,single_group
F419,Factor3,-0.171095902824182,single_group
F420,Factor3,0.0286070836324438,single_group
F211,Factor3,-0.0240831160367188,single_group
F222,Factor3,-0.801723257819814,single_group
F228,Factor3,1.57065857300509,single_group
F238,Factor3,0.790818199023902,single_group
F246,Factor3,-0.232458437326573,single_group
F254,Factor3,0.366907206471903,single_group
F272,Factor3,-0.630208750737936,single_group
F284,Factor3,-0.722005219027798,single_group
F313,Factor3,1.95786011155635,single_group
F322,Factor3,-0.223735405140407,single_group
F330,Factor3,-0.343243863562621,single_group
F337,Factor3,-0.853523491312929,single_group
F348,Factor3,-0.831963191594682,single_group
F357,Factor3,0.179860666474973,single_group
