feature,factor,value,view
NC_059445.1+LOC106610223,Factor1,0.444025663106859,HostRNA
NC_059470.1+LOC106590176,Factor1,0.500430965378728,HostRNA
NC_059444.1+LOC123723657,Factor1,0.00102250396494463,HostRNA
NC_059443.1+LOC106582649,Factor1,0.198827609496366,HostRNA
NC_059465.1+LOC106585608,Factor1,0.469161293070899,HostRNA
NC_059453.1+LOC106590030,Factor1,-0.0132495814592111,HostRNA
NC_059452.1+LOC106562790,Factor1,0.486697088513892,HostRNA
NC_059448.1+LOC106608788,Factor1,0.419817918219164,HostRNA
NC_059467.1+LOC106587816,Factor1,-0.0118317326755645,HostRNA
NC_059443.1+LOC123724000,Factor1,0.0363009854659783,HostRNA
NC_059456.1+LOC106571856,Factor1,0.161388455035729,HostRNA
NC_059447.1+LOC106607795,Factor1,0.000272970314582353,HostRNA
NC_059463.1+LOC106583134,Factor1,0.414274187330221,HostRNA
NC_059446.1+LOC106604192,Factor1,0.41564481690294,HostRNA
NC_059447.1+LOC106606194,Factor1,0.0162159774922844,HostRNA
NC_059445.1+LOC106603358,Factor1,0.464689431999549,HostRNA
NC_059457.1+LOC100195512,Factor1,0.463815722586413,HostRNA
NC_059442.1+1433b,Factor1,-0.158382242241787,HostRNA
NC_059443.1+LOC106575974,Factor1,0.434139830053052,HostRNA
